_id,mongoid,avettaId,mongoObject,formdisplayID,en,max_length,category,last_modified
1,507f1f77bcf86cd799439011,AV001,supplier_form,SF_001,"Welcome to Supplier Registration",100,ui,2024-01-15
2,507f1f77bcf86cd799439012,AV001,supplier_form,SF_002,"Please complete all required fields",80,instructions,2024-01-15
3,507f1f77bcf86cd799439013,AV001,supplier_form,SF_003,"Company Information",50,section_header,2024-01-15
4,507f1f77bcf86cd799439014,AV001,supplier_form,SF_004,"Legal Company Name",40,form_label,2024-01-15
5,507f1f77bcf86cd799439015,AV001,supplier_form,SF_005,"Tax Identification Number",40,form_label,2024-01-15
6,507f1f77bcf86cd799439016,AV001,supplier_form,SF_006,"Primary Business Address",40,form_label,2024-01-15
7,507f1f77bcf86cd799439017,AV002,compliance_form,CF_001,"Safety Compliance Documentation",60,section_header,2024-01-20
8,507f1f77bcf86cd799439018,AV002,compliance_form,CF_002,"Upload your current insurance certificate",100,instructions,2024-01-20
9,507f1f77bcf86cd799439019,AV002,compliance_form,CF_003,"Certificate of Insurance",50,form_label,2024-01-20
10,507f1f77bcf86cd799439020,AV002,compliance_form,CF_004,"Expiration Date",30,form_label,2024-01-20
11,507f1f77bcf86cd799439021,AV003,worker_form,WF_001,"Worker Safety Training Records",60,section_header,2024-02-01
12,507f1f77bcf86cd799439022,AV003,worker_form,WF_002,"Has the worker completed OSHA 10-hour training?",100,question,2024-02-01
13,507f1f77bcf86cd799439023,AV003,worker_form,WF_003,"Training Completion Date",40,form_label,2024-02-01
14,507f1f77bcf86cd799439024,AV004,validation_messages,VM_001,"This field cannot be left blank",80,error_message,2024-02-05
15,507f1f77bcf86cd799439025,AV004,validation_messages,VM_002,"Please enter a valid email address",80,error_message,2024-02-05
16,507f1f77bcf86cd799439026,AV004,validation_messages,VM_003,"File size must not exceed 10MB",80,error_message,2024-02-05
17,507f1f77bcf86cd799439027,AV005,success_messages,SM_001,"Your form has been submitted successfully",100,success_message,2024-02-08
18,507f1f77bcf86cd799439028,AV005,success_messages,SM_002,"Documents uploaded and verified",80,success_message,2024-02-08
19,507f1f77bcf86cd799439029,AV006,help_text,HT_001,"Click here for detailed instructions",60,help_link,2024-02-10
20,507f1f77bcf86cd799439030,AV006,help_text,HT_002,"Contact support if you need assistance",80,help_text,2024-02-10
